1.24	2.05	um.
3.44	3.85	Yeah,
3.86	4.85	so.
5.54	6.05	So
6.05	6.24	there is
6.24	6.39	this,
6.4	6.6	yeah,
6.6	6.72	this
6.72	7.0	planet
7.0	7.13	and
7.13	7.31	like
7.31	7.617	95
7.617	7.85	percent
7.85	7.91	of
7.91	8.39	people
8.593	8.77	are
8.77	9.12	born
9.12	9.26	as
9.26	9.67	women.
10.0	10.3	So
10.3	10.514	what,
10.514	10.638	what
10.643	10.88	(?)
10.88	11.2	happening
11.2	11.32	is
11.32	11.56	like.
12.04	12.55	what?
13.528	14.733	###
14.74	15.02	Well,
15.02	15.15	so
15.15	15.31	it is
15.31	15.56	really
15.56	16.03	interesting
16.03	16.32	because
16.32	16.84	basically
16.84	16.98	this
16.98	17.51	entire
17.51	18.31	society
18.32	18.59	is
18.59	18.92	like
18.93	19.58	dominated
19.58	19.74	by
19.74	20.09	women.
20.09	20.64	So
20.65	21.35	because
21.35	21.88	the
21.89	22.23	men
22.23	22.32	are
22.32	22.43	in
22.43	22.64	such
22.64	22.87	short
22.87	23.37	supply,
23.37	23.76	like
25.74	26.33	basically
26.33	26.67	they are
26.67	27.13	relegated
27.13	27.23	to
27.23	27.77	entirely
27.77	28.3	becoming
28.3	28.5	like
28.51	29.12	objects
29.13	29.54	for
29.54	29.83	like
29.84	30.66	reproduction.
31.24	32.05	So
32.15	32.36	e-
32.36	33.0	essentially
33.0	33.36	like
33.74	33.96	there is
33.96	34.16	this
34.17	34.96	society
34.96	35.1	and
35.1	35.34	every-
35.34	35.56	all
35.56	35.64	the
35.64	35.88	women
35.88	36.03	like
36.03	36.17	sort
36.17	36.24	of
36.24	36.42	live
36.42	36.59	like
36.6	37.05	traditional
37.05	37.48	society,
37.48	37.64	like
37.64	37.7	they
37.7	37.8	have
37.8	38.66	households.
39.24	39.68	um,
39.68	39.78	They
39.78	39.91	have
39.91	40.27	like
40.28	40.97	Children
40.97	41.06	and
41.06	41.79	everything.
41.86	42.21	but
42.21	42.37	then
42.37	42.549	they,
42.549	42.74	they
42.75	43.46	actually
43.84	44.35	um.
44.36	44.6	but
44.6	44.89	then
44.9	45.168	the-
45.168	45.48	the-
45.49	45.613	the
45.613	45.75	big
45.75	46.03	difference
46.03	46.13	is
46.13	46.28	that
46.28	46.43	like
46.44	46.71	all
46.71	46.81	of
46.81	46.9	the
46.9	47.14	men-
47.15	47.3	the
